"fecha","linea","n"
2021-01-01,"BSAS_LINEA_203",20189
2021-01-01,"BSAS_LINEA_501G",25760
2021-01-01,"FFCC ROCA",25576
2021-01-01,"FFCC SAR",4049
2021-01-02,"BSAS_LINEA_203",45369
2021-01-02,"BSAS_LINEA_501G",62508
2021-01-02,"FFCC ROCA",112401
2021-01-02,"FFCC SAR",37131
2021-01-03,"BSAS_LINEA_203",38578
2021-01-03,"BSAS_LINEA_501G",42808
2021-01-03,"FFCC ROCA",58265
2021-01-03,"FFCC SAR",13465
2021-01-04,"BSAS_LINEA_203",69258
2021-01-04,"BSAS_LINEA_501G",94183
2021-01-04,"FFCC ROCA",231781
2021-01-04,"FFCC SAR",124880
2021-01-05,"BSAS_LINEA_203",68506
2021-01-05,"BSAS_LINEA_501G",101061
2021-01-05,"FFCC ROCA",233965
2021-01-05,"FFCC SAR",126548
2021-01-06,"BSAS_LINEA_203",70657
2021-01-06,"BSAS_LINEA_501G",101809
2021-01-06,"FFCC ROCA",237354
2021-01-06,"FFCC SAR",125750
2021-01-07,"BSAS_LINEA_203",72219
2021-01-07,"BSAS_LINEA_501G",100765
2021-01-07,"FFCC ROCA",239248
2021-01-07,"FFCC SAR",113738
2021-01-08,"BSAS_LINEA_203",73470
2021-01-08,"BSAS_LINEA_501G",105087
2021-01-08,"FFCC ROCA",258180
2021-01-08,"FFCC SAR",115753
2021-01-09,"BSAS_LINEA_203",56272
2021-01-09,"BSAS_LINEA_501G",87168
2021-01-09,"FFCC ROCA",146323
2021-01-09,"FFCC SAR",40771
2021-01-10,"BSAS_LINEA_203",39878
2021-01-10,"BSAS_LINEA_501G",48499
2021-01-10,"FFCC ROCA",56483
2021-01-10,"FFCC SAR",7547
2021-01-11,"BSAS_LINEA_203",53306
2021-01-11,"BSAS_LINEA_501G",67382
2021-01-11,"FFCC ROCA",180492
2021-01-11,"FFCC SAR",95511
2021-01-12,"BSAS_LINEA_203",73536
2021-01-12,"BSAS_LINEA_501G",107365
2021-01-12,"FFCC ROCA",249875
2021-01-12,"FFCC SAR",137056
2021-01-13,"BSAS_LINEA_203",73368
2021-01-13,"BSAS_LINEA_501G",102750
2021-01-13,"FFCC ROCA",246166
2021-01-13,"FFCC SAR",127051
2021-01-14,"BSAS_LINEA_203",72932
2021-01-14,"BSAS_LINEA_501G",104174
2021-01-14,"FFCC ROCA",243537
2021-01-14,"FFCC SAR",120736
2021-01-15,"BSAS_LINEA_203",68824
2021-01-15,"BSAS_LINEA_501G",93445
2021-01-15,"FFCC ROCA",241769
2021-01-15,"FFCC SAR",116260
2021-01-16,"BSAS_LINEA_203",52431
2021-01-16,"BSAS_LINEA_501G",82467
2021-01-16,"FFCC ROCA",136023
2021-01-16,"FFCC SAR",35337
2021-01-17,"BSAS_LINEA_203",42488
2021-01-17,"BSAS_LINEA_501G",51396
2021-01-17,"FFCC ROCA",61854
2021-01-17,"FFCC SAR",11714
2021-01-18,"BSAS_LINEA_203",71730
2021-01-18,"BSAS_LINEA_501G",103548
2021-01-18,"FFCC ROCA",242377
2021-01-18,"FFCC SAR",126327
2021-01-19,"BSAS_LINEA_203",71476
2021-01-19,"BSAS_LINEA_501G",103096
2021-01-19,"FFCC ROCA",237048
2021-01-19,"FFCC SAR",120386
